event_id,name,college_name,techfest_name,city,category,subcategory,event_type,min_team_size,max_team_size,team_possible,price,prize_pool,start_date,end_date,duration_days,description,tags,rating,popularity,college_rating,college_category,registration_link,contact_email,coordinates
24,Project Exhibition @ Cumminspark,Cummins Pune,Cumminspark,Pune,Electronics,Project Exhibition,Solo,1,1,False,1076,8000,2026-05-04,2026-05-06,2,🚀 Cummins Pune invites you to participate in Project Exhibition during Cumminspark. A perfect platform for electronics enthusiasts to demonstrate their talents.,"Electronics, Project Exhibition, Highly Reputed, Cumminspark, solo-event",4.1,4.4,4.2,Highly Reputed,https://cumminspark.edu.in/events/24,events@cumminspark.edu.in,"18.5204° N, 73.8567° E"
25,Bot Battle @ Bharati Techfest,BVUCOE Pune,Bharati Techfest,Pune,Robotics,Bot Battle,Solo,1,1,False,622,20000,2026-04-30,2026-05-01,1,🚀 BVUCOE Pune invites you to participate in Bot Battle during Bharati Techfest. A perfect platform for robotics enthusiasts to demonstrate their talents.,"Robotics, Bot Battle, Notable, Bharati Techfest, solo-event",3.9,3.9,3.9,Notable,https://bvucoepune.edu.in/techfest/events/25,events@bvucoepune.edu.in/techfest,"18.5204° N, 73.8567° E"
26,Marketing Challenge @ SFIT Techfest,SFIT Mumbai,SFIT Techfest,Mumbai,Management,Marketing Challenge,Team,3,5,True,790,2000,2026-06-27,2026-06-28,1,Join us for Marketing Challenge at SFIT Mumbai's SFIT Techfest! This management event challenges participants to showcase their expertise in management domain.,"Management, Marketing Challenge, Other Notable, SFIT Techfest, team-event",3.8,4.0,3.8,Other Notable,https://sfit.ac.in/techfest/events/26,events@sfit.ac.in/techfest,"19.0760° N, 72.8777° E"
27,Model Making @ PVG Techfest,PVGCOET Pune,PVG Techfest,Pune,Competition,Model Making,Team,3,4,True,210,2000,2026-06-09,2026-06-12,3,🎯 PVGCOET Pune presents Model Making - an exciting competition event at PVG Techfest! Test your skills and compete with the best minds from across Maharashtra.,"Competition, Model Making, Other Notable, PVG Techfest, team-event",3.9,3.5,3.7,Other Notable,https://pvgcoet.ac.in/techfest/events/27,events@pvgcoet.ac.in/techfest,"18.5204° N, 73.8567° E"
28,UI/UX Challenge @ Vishwaraj,VIIT Pune,Vishwaraj,Pune,Design,UI/UX Challenge,Both,1,4,True,238,10000,2026-09-25,2026-09-27,2,🎯 VIIT Pune presents UI/UX Challenge - an exciting design event at Vishwaraj! Test your skills and compete with the best minds from across Maharashtra.,"Design, UI/UX Challenge, Notable, Vishwaraj, team-event",3.7,4.3,3.9,Notable,https://viitpune.edu.in/vishwaraj/events/28,events@viitpune.edu.in/vishwaraj,"18.5204° N, 73.8567° E"
29,Sustainable Design @ Cognizance,IIIT Pune,Cognizance,Pune,Civil,Sustainable Design,Solo,1,1,False,235,10000,2026-09-04,2026-09-06,2,🎯 IIIT Pune presents Sustainable Design - an exciting civil event at Cognizance! Test your skills and compete with the best minds from across Maharashtra.,"Civil, Sustainable Design, Highly Reputed, Cognizance, solo-event",4.4,4.3,4.4,Highly Reputed,https://cognizance.org.in/events/29,events@cognizance.org.in,"18.5204° N, 73.8567° E"
30,Go Kart Racing @ Bharati Techfest,BVUCOE Pune,Bharati Techfest,Pune,Mechanical,Go Kart Racing,Solo,1,1,False,2226,50000,2026-05-13,2026-05-16,3,🎯 BVUCOE Pune presents Go Kart Racing - an exciting mechanical event at Bharati Techfest! Test your skills and compete with the best minds from across Maharashtra.,"Mechanical, Go Kart Racing, Notable, Bharati Techfest, solo-event",3.9,3.9,3.9,Notable,https://bvucoepune.edu.in/techfest/events/30,events@bvucoepune.edu.in/techfest,"18.5204° N, 73.8567° E"
31,Structural Design @ Techyon,WCE Sangli,Techyon,Sangli,Civil,Structural Design,Both,1,3,True,613,20000,2026-06-14,2026-06-15,1,💡 Structural Design at Techyon - WCE Sangli. Compete in this civil event and win exciting prizes! Open for all engineering students.,"Civil, Structural Design, Highly Reputed, Techyon, team-event",4.3,4.2,4.3,Highly Reputed,https://techyon.wce.ac.in/events/31,events@techyon.wce.ac.in,"16.8637° N, 74.5696° E"
32,Logo Design @ Yantra,Ramdeobaba Nagpur,Yantra,Nagpur,Design,Logo Design,Solo,1,1,False,178,3000,2026-06-06,2026-06-08,2,🎯 Ramdeobaba Nagpur presents Logo Design - an exciting design event at Yantra! Test your skills and compete with the best minds from across Maharashtra.,"Design, Logo Design, Notable, Yantra, solo-event",4.0,4.4,4.0,Notable,https://rknpec.edu.in/yantra/events/32,events@rknpec.edu.in/yantra,"21.1458° N, 79.0882° E"
33,Hackathon @ PVG Techfest,PVGCOET Pune,PVG Techfest,Pune,Coding,Hackathon,Solo,1,1,False,219,10000,2026-10-11,2026-10-14,3,🚀 PVGCOET Pune invites you to participate in Hackathon during PVG Techfest. A perfect platform for coding enthusiasts to demonstrate their talents.,"Coding, Hackathon, Other Notable, PVG Techfest, solo-event",3.8,3.9,3.7,Other Notable,https://pvgcoet.ac.in/techfest/events/33,events@pvgcoet.ac.in/techfest,"18.5204° N, 73.8567° E"
34,Sustainable Design @ Momentum,ICT Mumbai,Momentum,Mumbai,Civil,Sustainable Design,Solo,1,1,False,518,3000,2026-05-22,2026-05-24,2,🎯 Solo event - Individual participation only. Showcase your personal skills in Civil!,"Civil, Sustainable Design, Premier Institute, Momentum, solo-event",4.7,4.5,4.6,Premier Institute,https://momentum.ictmumbai.edu.in/events/34,events@momentum.ictmumbai.edu.in,"19.0760° N, 72.8777° E"
35,UI/UX Challenge @ Raisoni Techfest,Raisoni Nagpur,Raisoni Techfest,Nagpur,Design,UI/UX Challenge,Solo,1,1,False,133,3000,2026-09-09,2026-09-10,1,🎯 Solo event - Individual participation only. Showcase your personal skills in Design!,"Design, UI/UX Challenge, Notable, Raisoni Techfest, solo-event",4.0,3.7,3.9,Notable,https://raisoni.net/techfest/events/35,events@raisoni.net/techfest,"21.1458° N, 79.0882° E"
36,Bot Battle @ Prerana,SPCE Mumbai,Prerana,Mumbai,Robotics,Bot Battle,Both,1,4,True,1138,10000,2026-09-30,2026-10-01,1,🤝 Open for both solo and team participation!,"Robotics, Bot Battle, Notable, Prerana, team-event",3.9,4.3,4.0,Notable,https://spce.ac.in/prerana/events/36,events@spce.ac.in/prerana,"19.0760° N, 72.8777° E"
37,Embedded Systems @ Raitram,RAIT Navi Mumbai,Raitram,Navi Mumbai,Electronics,Embedded Systems,Team,3,5,True,1310,4000,2026-06-07,2026-06-10,3,🎯 RAIT Navi Mumbai presents Embedded Systems - an exciting electronics event at Raitram! Test your skills and compete with the best minds from across Maharashtra.,"Electronics, Embedded Systems, Other Notable, Raitram, team-event",3.6,3.7,3.7,Other Notable,https://rait.edu.in/raitram/events/37,events@rait.edu.in/raitram,"19.0330° N, 73.0297° E"
38,Drone Racing @ Raitram,RAIT Navi Mumbai,Raitram,Navi Mumbai,Robotics,Drone Racing,Solo,1,1,False,1089,20000,2026-09-11,2026-09-13,2,🎯 Solo event - Individual participation only. Showcase your personal skills in Robotics!,"Robotics, Drone Racing, Other Notable, Raitram, solo-event",3.6,3.7,3.7,Other Notable,https://rait.edu.in/raitram/events/38,events@rait.edu.in/raitram,"19.0330° N, 73.0297° E"
39,Treasure Hunt @ Pillai Techfest,Pillai Panvel,Pillai Techfest,Panvel,Competition,Treasure Hunt,Solo,1,1,False,101,5000,2026-06-29,2026-06-30,1,🎯 Pillai Panvel presents Treasure Hunt - an exciting competition event at Pillai Techfest! Test your skills and compete with the best minds from across Maharashtra.,"Competition, Treasure Hunt, Other Notable, Pillai Techfest, solo-event",3.4,4.0,3.7,Other Notable,https://pillai.edu.in/techfest/events/39,events@pillai.edu.in/techfest,"18.9920° N, 73.1120° E"
40,Surveying @ SGGSTech,SGGSIE&T Nanded,SGGSTech,Nanded,Civil,Surveying,Solo,1,1,False,541,10000,2026-05-12,2026-05-15,3,🚀 SGGSIE&T Nanded invites you to participate in Surveying during SGGSTech. A perfect platform for civil enthusiasts to demonstrate their talents.,"Civil, Surveying, Other Notable, SGGSTech, solo-event",4.1,3.7,3.8,Other Notable,https://sggs.ac.in/techfest/events/40,events@sggs.ac.in/techfest,"19.1383° N, 77.3210° E"
41,Model Making @ Cognizance,IIIT Pune,Cognizance,Pune,Competition,Model Making,Both,1,4,True,187,5000,2026-06-10,2026-06-11,1,🎯 IIIT Pune presents Model Making - an exciting competition event at Cognizance! Test your skills and compete with the best minds from across Maharashtra.,"Competition, Model Making, Highly Reputed, Cognizance, team-event",4.4,4.4,4.4,Highly Reputed,https://cognizance.org.in/events/41,events@cognizance.org.in,"18.5204° N, 73.8567° E"
42,Sustainable Design @ Prerana,SPCE Mumbai,Prerana,Mumbai,Civil,Sustainable Design,Solo,1,1,False,833,3000,2026-09-17,2026-09-20,3,🎯 Solo event - Individual participation only. Showcase your personal skills in Civil!,"Civil, Sustainable Design, Notable, Prerana, solo-event",4.2,3.9,4.0,Notable,https://spce.ac.in/prerana/events/42,events@spce.ac.in/prerana,"19.0760° N, 72.8777° E"
43,Model Making @ Cognizance,IIIT Pune,Cognizance,Pune,Competition,Model Making,Solo,1,1,False,72,5000,2026-05-30,2026-05-31,1,🎯 IIIT Pune presents Model Making - an exciting competition event at Cognizance! Test your skills and compete with the best minds from across Maharashtra.,"Competition, Model Making, Highly Reputed, Cognizance, solo-event",4.4,4.6,4.4,Highly Reputed,https://cognizance.org.in/events/43,events@cognizance.org.in,"18.5204° N, 73.8567° E"
44,Research Paper @ T-Spectra,TSEC Mumbai,T-Spectra,Mumbai,Technical Paper,Research Paper,Both,1,3,True,198,1000,2026-05-28,2026-05-31,3,🤝 Open for both solo and team participation!,"Technical Paper, Research Paper, Notable, T-Spectra, team-event",3.7,3.8,3.9,Notable,https://tsec.edu.in/t-spectra/events/44,events@tsec.edu.in/t-spectra,"19.0760° N, 72.8777° E"
45,AI/ML Workshop @ Cognizance,IIIT Pune,Cognizance,Pune,Workshop,AI/ML Workshop,Solo,1,1,False,1781,0,2026-10-20,2026-10-23,3,🎯 IIIT Pune presents AI/ML Workshop - an exciting workshop event at Cognizance! Test your skills and compete with the best minds from across Maharashtra.,"Workshop, AI/ML Workshop, Highly Reputed, Cognizance, solo-event",4.6,4.4,4.4,Highly Reputed,https://cognizance.org.in/events/45,events@cognizance.org.in,"18.5204° N, 73.8567° E"
46,Marketing Challenge @ Technotron,GCOE Aurangabad,Technotron,Aurangabad,Management,Marketing Challenge,Team,2,4,True,972,10000,2026-05-25,2026-05-26,1,Join us for Marketing Challenge at GCOE Aurangabad's Technotron! This management event challenges participants to showcase their expertise in management domain.,"Management, Marketing Challenge, Notable, Technotron, team-event",4.0,3.8,3.8,Notable,https://gcoea.ac.in/technotron/events/46,events@gcoea.ac.in/technotron,"19.8762° N, 75.3433° E"
47,Project Exhibition @ Techyon,WCE Sangli,Techyon,Sangli,Electronics,Project Exhibition,Team,3,4,True,1877,4000,2026-05-09,2026-05-11,2,🎯 WCE Sangli presents Project Exhibition - an exciting electronics event at Techyon! Test your skills and compete with the best minds from across Maharashtra.,"Electronics, Project Exhibition, Highly Reputed, Techyon, team-event",4.0,4.2,4.3,Highly Reputed,https://techyon.wce.ac.in/events/47,events@techyon.wce.ac.in,"16.8637° N, 74.5696° E"
48,Poster Making @ Cumminspark,Cummins Pune,Cumminspark,Pune,Design,Poster Making,Solo,1,1,False,428,3000,2026-08-24,2026-08-27,3,🎯 Solo event - Individual participation only. Showcase your personal skills in Design!,"Design, Poster Making, Highly Reputed, Cumminspark, solo-event",4.1,4.3,4.2,Highly Reputed,https://cumminspark.edu.in/events/48,events@cumminspark.edu.in,"18.5204° N, 73.8567° E"
49,Poster Making @ SGGSTech,SGGSIE&T Nanded,SGGSTech,Nanded,Design,Poster Making,Solo,1,1,False,314,3000,2026-06-14,2026-06-17,3,Join us for Poster Making at SGGSIE&T Nanded's SGGSTech! This design event challenges participants to showcase their expertise in design domain.,"Design, Poster Making, Other Notable, SGGSTech, solo-event",3.6,3.9,3.8,Other Notable,https://sggs.ac.in/techfest/events/49,events@sggs.ac.in/techfest,"19.1383° N, 77.3210° E"
50,Water Management @ T-Spectra,TSEC Mumbai,T-Spectra,Mumbai,Civil,Water Management,Team,3,3,True,1087,10000,2026-09-26,2026-09-27,1,🚀 TSEC Mumbai invites you to participate in Water Management during T-Spectra. A perfect platform for civil enthusiasts to demonstrate their talents.,"Civil, Water Management, Notable, T-Spectra, team-event",3.7,4.1,3.9,Notable,https://tsec.edu.in/t-spectra/events/50,events@tsec.edu.in/t-spectra,"19.0760° N, 72.8777° E"
51,Innovation Challenge @ Technovanza,AIT Pune,Technovanza,Pune,Technical Paper,Innovation Challenge,Both,1,4,True,219,5000,2026-09-03,2026-09-05,2,💡 Innovation Challenge at Technovanza - AIT Pune. Compete in this technical paper event and win exciting prizes! Open for all engineering students.,"Technical Paper, Innovation Challenge, Highly Reputed, Technovanza, team-event",4.2,4.0,4.1,Highly Reputed,https://aitpune.edu.in/technovanza/events/51,events@aitpune.edu.in/technovanza,"18.5204° N, 73.8567° E"
52,Hackathon @ SFIT Techfest,SFIT Mumbai,SFIT Techfest,Mumbai,Coding,Hackathon,Team,3,4,True,54,25000,2026-10-18,2026-10-21,3,🎯 SFIT Mumbai presents Hackathon - an exciting coding event at SFIT Techfest! Test your skills and compete with the best minds from across Maharashtra.,"Coding, Hackathon, Other Notable, SFIT Techfest, team-event",4.1,3.9,3.8,Other Notable,https://sfit.ac.in/techfest/events/52,events@sfit.ac.in/techfest,"19.0760° N, 72.8777° E"
53,Water Management @ Prerana,SPCE Mumbai,Prerana,Mumbai,Civil,Water Management,Both,1,4,True,1302,10000,2026-08-04,2026-08-06,2,🚀 SPCE Mumbai invites you to participate in Water Management during Prerana. A perfect platform for civil enthusiasts to demonstrate their talents.,"Civil, Water Management, Notable, Prerana, team-event",4.2,4.4,4.0,Notable,https://spce.ac.in/prerana/events/53,events@spce.ac.in/prerana,"19.0760° N, 72.8777° E"
54,Project Presentation @ Technotron,GCOE Aurangabad,Technotron,Aurangabad,Technical Paper,Project Presentation,Solo,1,1,False,250,5000,2026-07-04,2026-07-07,3,💡 Project Presentation at Technotron - GCOE Aurangabad. Compete in this technical paper event and win exciting prizes! Open for all engineering students.,"Technical Paper, Project Presentation, Notable, Technotron, solo-event",3.7,3.9,3.8,Notable,https://gcoea.ac.in/technotron/events/54,events@gcoea.ac.in/technotron,"19.8762° N, 75.3433° E"
55,Group Discussion @ Technovanza,VJTI Mumbai,Technovanza,Mumbai,Competition,Group Discussion,Team,2,3,True,124,10000,2026-09-23,2026-09-26,3,💡 Group Discussion at Technovanza - VJTI Mumbai. Compete in this competition event and win exciting prizes! Open for all engineering students.,"Competition, Group Discussion, Premier Institute, Technovanza, team-event",4.3,4.4,4.5,Premier Institute,https://technovanza.org/events/55,events@technovanza.org,"19.0760° N, 72.8777° E"
56,Innovation Challenge @ Technovanza,VJTI Mumbai,Technovanza,Mumbai,Technical Paper,Innovation Challenge,Both,1,2,True,62,5000,2026-10-17,2026-10-20,3,🚀 VJTI Mumbai invites you to participate in Innovation Challenge during Technovanza. A perfect platform for technical paper enthusiasts to demonstrate their talents.,"Technical Paper, Innovation Challenge, Premier Institute, Technovanza, team-event",4.4,4.4,4.5,Premier Institute,https://technovanza.org/events/56,events@technovanza.org,"19.0760° N, 72.8777° E"
57,Hackathon @ PVG Techfest,PVGCOET Pune,PVG Techfest,Pune,Coding,Hackathon,Both,1,4,True,203,3000,2026-05-13,2026-05-16,3,🎯 PVGCOET Pune presents Hackathon - an exciting coding event at PVG Techfest! Test your skills and compete with the best minds from across Maharashtra.,"Coding, Hackathon, Other Notable, PVG Techfest, team-event",3.9,3.8,3.7,Other Notable,https://pvgcoet.ac.in/techfest/events/57,events@pvgcoet.ac.in/techfest,"18.5204° N, 73.8567° E"
58,UI/UX Challenge @ T-Spectra,TSEC Mumbai,T-Spectra,Mumbai,Design,UI/UX Challenge,Solo,1,1,False,218,1000,2026-09-27,2026-09-28,1,Join us for UI/UX Challenge at TSEC Mumbai's T-Spectra! This design event challenges participants to showcase their expertise in design domain.,"Design, UI/UX Challenge, Notable, T-Spectra, solo-event",4.0,3.8,3.9,Notable,https://tsec.edu.in/t-spectra/events/58,events@tsec.edu.in/t-spectra,"19.0760° N, 72.8777° E"
59,Line Follower @ SFIT Techfest,SFIT Mumbai,SFIT Techfest,Mumbai,Robotics,Line Follower,Solo,1,1,False,650,5000,2026-06-25,2026-06-28,3,🚀 SFIT Mumbai invites you to participate in Line Follower during SFIT Techfest. A perfect platform for robotics enthusiasts to demonstrate their talents.,"Robotics, Line Follower, Other Notable, SFIT Techfest, solo-event",4.0,3.7,3.8,Other Notable,https://sfit.ac.in/techfest/events/59,events@sfit.ac.in/techfest,"19.0760° N, 72.8777° E"
